id,name,title,category,organization,last_updated,tags,portal,location,source_url,harvested_at,notes
tkh9-tssh,All Closed Businesses,All Closed Businesses,,Office of Finance,2026-03-16T16:21:23.000Z,,data.lacity.org,,https://data.lacity.org/d/tkh9-tssh,2026-04-03T21:55:37.280396+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
9yda-i4ya,Existing Buildings Energy & Water Efficiency (EBEWE) Program,Existing Buildings Energy & Water Efficiency (EBEWE) Program,,LADBS,2026-03-29T08:01:36.000Z,,data.lacity.org,,https://data.lacity.org/d/9yda-i4ya,2026-04-03T21:55:38.095360+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
6q2s-9pnn,Building Permits Feb'15-Present,Building Permits Feb'15-Present,,LADBS,2025-01-29T02:44:52.000Z,,data.lacity.org,,https://data.lacity.org/d/6q2s-9pnn,2026-04-03T21:55:39.526388+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
pjh9-xwfn,Storm Drain System,Storm Drain System,,Bureau of Engineering,2024-12-02T20:35:14.000Z,,data.lacity.org,,https://data.lacity.org/d/pjh9-xwfn,2026-04-03T21:55:40.284311+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
fqjd-8bkh,COMMERCIAL-BUILDINGANDSAFETYPERMITS,COMMERCIAL-BUILDINGANDSAFETYPERMITS,,LADBS,2025-01-29T02:51:35.000Z,,data.lacity.org,,https://data.lacity.org/d/fqjd-8bkh,2026-04-03T21:55:41.236091+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
g3qu-7q2u,Los Angeles International Airport - Passenger Traffic By Terminal,Los Angeles International Airport - Passenger Traffic By Terminal,,kyoung2@lawa.org,2023-11-30T12:54:45.000Z,,data.lacity.org,,https://data.lacity.org/d/g3qu-7q2u,2026-04-03T21:55:42.001742+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
y5ik-mwat,Building Permits over 100K Valuation,Building Permits over 100K Valuation,,LADBS,2025-01-29T03:00:19.000Z,,data.lacity.org,,https://data.lacity.org/d/y5ik-mwat,2026-04-03T21:55:43.049058+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
y4zb-t59m,COMMERCIAL-BUILDINGANDSAFETYPERMITS,COMMERCIAL-BUILDINGANDSAFETYPERMITS,,LADBS,2025-01-29T03:00:16.000Z,,data.lacity.org,,https://data.lacity.org/d/y4zb-t59m,2026-04-03T21:55:44.007821+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
peyn-q7x3,New Residential Building Permits over 100k,New Residential Building Permits over 100k,,LADBS,2025-01-29T02:55:51.000Z,,data.lacity.org,,https://data.lacity.org/d/peyn-q7x3,2026-04-03T21:55:45.034860+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
5cy5-6te5,Electrical,Electrical,,LADBS,2025-01-29T02:44:35.000Z,,data.lacity.org,,https://data.lacity.org/d/5cy5-6te5,2026-04-03T21:55:45.907368+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
amvf-fr72,Arrest Data from 2020 to 4/30/2025,Arrest Data from 2020 to 4/30/2025,,LAPD,2026-03-04T18:00:14.000Z,,data.lacity.org,,https://data.lacity.org/d/amvf-fr72,2026-04-03T21:55:46.678568+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
hhzr-9ttq,New Commercial Building Permits over 100k,New Commercial Building Permits over 100k,,LADBS,2025-01-29T02:52:43.000Z,,data.lacity.org,,https://data.lacity.org/d/hhzr-9ttq,2026-04-03T21:55:47.532719+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
h6ky-vznd,Payments Made by Clients to Registered Lobbying Firms,Payments Made by Clients to Registered Lobbying Firms,,,2026-04-03T13:41:55.000Z,,data.lacity.org,,https://data.lacity.org/d/h6ky-vznd,2026-04-03T21:55:48.353864+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
9z5d-hgrh,Clients of Registered Lobbying Firms,Clients of Registered Lobbying Firms,,,2026-04-03T13:28:13.000Z,,data.lacity.org,,https://data.lacity.org/d/9z5d-hgrh,2026-04-03T21:55:49.117080+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
g986-7yf9,Grocery Stores,Grocery Stores,,Office of Finance,2026-03-15T15:38:51.000Z,,data.lacity.org,,https://data.lacity.org/d/g986-7yf9,2026-04-03T21:55:50.092378+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
3f8d-g7z8,Listing of Active Businesses - Council District 7,Listing of Active Businesses - Council District 7,,Office of Finance,2026-03-15T15:38:51.000Z,,data.lacity.org,,https://data.lacity.org/d/3f8d-g7z8,2026-04-03T21:55:50.975608+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
j4zm-9kqu,Registered City Lobbyists,Registered City Lobbyists,,,2026-04-03T14:02:35.000Z,,data.lacity.org,,https://data.lacity.org/d/j4zm-9kqu,2026-04-03T21:55:51.914490+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
kmm8-spbp,Listing of Active Businesses - Council District 10,Listing of Active Businesses - Council District 10,,Office of Finance,2026-03-15T15:38:51.000Z,,data.lacity.org,,https://data.lacity.org/d/kmm8-spbp,2026-04-03T21:55:52.897038+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
hntu-mwxc,Street Names,Street Names,,Bureau of Engineering,2026-03-26T13:31:38.000Z,,data.lacity.org,,https://data.lacity.org/d/hntu-mwxc,2026-04-03T21:55:53.608163+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
ei4w-2s8f,Listing of Active Businesses - Council District 8,Listing of Active Businesses - Council District 8,,Office of Finance,2026-03-15T15:38:51.000Z,,data.lacity.org,,https://data.lacity.org/d/ei4w-2s8f,2026-04-03T21:55:54.447916+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
g97g-vjb9,Listing of Active Businesses - Council District 5,Listing of Active Businesses - Council District 5,,Office of Finance,2026-03-15T15:38:51.000Z,,data.lacity.org,,https://data.lacity.org/d/g97g-vjb9,2026-04-03T21:55:55.405005+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
cqw4-taic,Listing of Active Businesses - Council District 1,Listing of Active Businesses - Council District 1,,Office of Finance,2026-03-15T15:38:51.000Z,,data.lacity.org,,https://data.lacity.org/d/cqw4-taic,2026-04-03T21:55:56.849727+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
74kz-jdzw,Listing of Active Businesses - Council District 9,Listing of Active Businesses - Council District 9,,Office of Finance,2026-03-15T15:38:51.000Z,,data.lacity.org,,https://data.lacity.org/d/74kz-jdzw,2026-04-03T21:55:57.858202+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
yqgj-nayp,Listing of Active Businesses - Council District 12,Listing of Active Businesses - Council District 12,,Office of Finance,2026-03-15T15:38:51.000Z,,data.lacity.org,,https://data.lacity.org/d/yqgj-nayp,2026-04-03T21:55:58.859498+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
pi9x-tg5x,Building and Safety - Building Permits Issued from 2020 to Present (N),Building and Safety - Building Permits Issued from 2020 to Present (N),,TSB,2026-03-30T15:05:20.000Z,,data.lacity.org,,https://data.lacity.org/d/pi9x-tg5x,2026-04-03T21:55:59.741898+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
rzii-s58n,Full-Service Restaurants - Council District 4,Full-Service Restaurants - Council District 4,,Office of Finance,2026-03-15T15:38:51.000Z,,data.lacity.org,,https://data.lacity.org/d/rzii-s58n,2026-04-03T21:56:00.617876+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
qj3j-hj3x,Listing of Active Businesses - Council District 2,Listing of Active Businesses - Council District 2,,Office of Finance,2026-03-15T15:38:51.000Z,,data.lacity.org,,https://data.lacity.org/d/qj3j-hj3x,2026-04-03T21:56:01.452732+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
rygd-gm77,Listing of Active Businesses - Council District 4,Listing of Active Businesses - Council District 4,,Office of Finance,2026-03-15T15:38:51.000Z,,data.lacity.org,,https://data.lacity.org/d/rygd-gm77,2026-04-03T21:56:02.451700+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
jk9n-burj,LADOT Overnight Parking Districts,LADOT Overnight Parking Districts,,LADOT,2024-04-24T19:00:58.000Z,,data.lacity.org,,https://data.lacity.org/d/jk9n-burj,2026-04-03T21:56:03.160429+00:00,non_html:text/html; charset=utf-8; 
nipp-xum2,Full-Service Restaurants - Council District 3,Full-Service Restaurants - Council District 3,,Office of Finance,2026-03-15T15:38:51.000Z,,data.lacity.org,,https://data.lacity.org/d/nipp-xum2,2026-04-03T21:56:04.151613+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
u82d-eh7z,Building and Safety - Code Enforcement Case - Open (N),Building and Safety - Code Enforcement Case - Open (N),,TSB,2026-03-30T13:16:24.000Z,,data.lacity.org,,https://data.lacity.org/d/u82d-eh7z,2026-04-03T21:56:05.171596+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
tpzk-4fp9,Full-Service Restaurants - Council District 5,Full-Service Restaurants - Council District 5,,Office of Finance,2026-03-15T15:38:51.000Z,,data.lacity.org,,https://data.lacity.org/d/tpzk-4fp9,2026-04-03T21:56:06.169158+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
4tby-2by7,Listing of Active Businesses - Council District 15,Listing of Active Businesses - Council District 15,,Office of Finance,2026-03-15T15:38:51.000Z,,data.lacity.org,,https://data.lacity.org/d/4tby-2by7,2026-04-03T21:56:07.357908+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
xnhu-aczu,LA BUILD PERMITS,LA BUILD PERMITS,,LADBS,2025-01-29T03:00:02.000Z,,data.lacity.org,,https://data.lacity.org/d/xnhu-aczu,2026-04-03T21:56:08.241856+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
fvye-93wd,Neighborhood-level COVID data,Neighborhood-level COVID data,,,2025-11-11T21:27:32.000Z,,data.lacity.org,,https://data.lacity.org/d/fvye-93wd,2026-04-03T21:56:08.999770+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
8244-zgpm,Total Permits Issued LADBS\CD2\ZipCode\91604,Total Permits Issued LADBS\CD2\ZipCode\91604,,LADBS,2025-01-14T19:24:53.000Z,,data.lacity.org,,https://data.lacity.org/d/8244-zgpm,2026-04-03T21:56:10.090024+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
wjz9-h9np,ARCHIVED: Parking Citations,ARCHIVED: Parking Citations,,,2024-01-04T23:45:00.000Z,,data.lacity.org,,https://data.lacity.org/d/wjz9-h9np,2026-04-03T21:56:10.955891+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
7yet-b6aj,Vaccination Rates by Neighborhood,Vaccination Rates by Neighborhood,,,2026-04-03T17:46:33.000Z,,data.lacity.org,,https://data.lacity.org/d/7yet-b6aj,2026-04-03T21:56:11.800765+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
2in3-5b7t,Immigration Workshops,Immigration Workshops,,,2020-11-30T17:10:30.000Z,,data.lacity.org,,https://data.lacity.org/d/2in3-5b7t,2026-04-03T21:56:12.882979+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
xjgu-z4ju,LAPD Calls for Service 2024 to Present,LAPD Calls for Service 2024 to Present,,LAPD,2026-03-31T13:18:11.000Z,,data.lacity.org,,https://data.lacity.org/d/xjgu-z4ju,2026-04-03T21:56:13.795904+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
iv7a-6rrq,Vaccine demographic data,Vaccine demographic data,,,2026-04-03T17:46:26.000Z,,data.lacity.org,,https://data.lacity.org/d/iv7a-6rrq,2026-04-03T21:56:15.021181+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
w9vh-pj9e,LA County COVID Testing,LA County COVID Testing,,,2022-09-09T17:29:11.000Z,,data.lacity.org,,https://data.lacity.org/d/w9vh-pj9e,2026-04-03T21:56:15.881851+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
bkfc-yqhx,PPP Loans in the City of Los Angeles,PPP Loans in the City of Los Angeles,,Small Business Administration,2022-02-01T17:58:34.000Z,,data.lacity.org,,https://data.lacity.org/d/bkfc-yqhx,2026-04-03T21:56:16.847149+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
qyvz-diiw,LADWP Water Supply in Acre Feet,LADWP Water Supply in Acre Feet,,LADWP,2020-11-30T17:05:18.000Z,,data.lacity.org,,https://data.lacity.org/d/qyvz-diiw,2026-04-03T21:56:17.612027+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
k5qd-jg2c,Electrical Permits,Electrical Permits,,LADBS,2025-01-29T02:53:53.000Z,,data.lacity.org,,https://data.lacity.org/d/k5qd-jg2c,2026-04-03T21:56:18.444034+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
84iq-i2r6,LAPD Calls for Service 2020,LAPD Calls for Service 2020,,Los Angeles Police Department,2021-10-08T01:12:12.000Z,,data.lacity.org,,https://data.lacity.org/d/84iq-i2r6,2026-04-03T21:56:19.393337+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
rpp7-mevy,Vaccines by California County,Vaccines by California County,,,2026-04-03T17:35:35.000Z,,data.lacity.org,,https://data.lacity.org/d/rpp7-mevy,2026-04-03T21:56:20.151153+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
i5ke-k6by,MyLA311 Service Request Data 2022,MyLA311 Service Request Data 2022,,City of Los Angeles - Information Technology Agency,2026-04-03T20:01:14.000Z,,data.lacity.org,,https://data.lacity.org/d/i5ke-k6by,2026-04-03T21:56:21.138610+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
9w5z-rg2h,Building and Safety Inspections,Building and Safety Inspections,,LADBS,2026-03-30T12:59:37.000Z,,data.lacity.org,,https://data.lacity.org/d/9w5z-rg2h,2026-04-03T21:56:21.857031+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
msxg-ssda,New Building Commercial,New Building Commercial,,LADBS,2025-01-29T02:54:55.000Z,,data.lacity.org,,https://data.lacity.org/d/msxg-ssda,2026-04-03T21:56:22.692066+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
mymu-zi3s,LAHD Affordable Housing Projects List (2003 to Present),LAHD Affordable Housing Projects List (2003 to Present),,,2026-03-23T15:35:24.000Z,,data.lacity.org,,https://data.lacity.org/d/mymu-zi3s,2026-04-03T21:56:23.949065+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
cv5a-dwmc,New Construction Permits 2015,New Construction Permits 2015,,LADBS,2025-01-29T02:49:02.000Z,,data.lacity.org,,https://data.lacity.org/d/cv5a-dwmc,2026-04-03T21:56:25.231208+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
94wu-3ps3,LADOT Traffic Counts Summary,LADOT Traffic Counts Summary,,Transportation,2020-11-30T17:12:47.000Z,,data.lacity.org,,https://data.lacity.org/d/94wu-3ps3,2026-04-03T21:56:26.052913+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
32cx-q9bj,Electricians,Electricians,,LADBS,2025-01-29T02:43:26.000Z,,data.lacity.org,,https://data.lacity.org/d/32cx-q9bj,2026-04-03T21:56:26.974538+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
rryw-49uv,Zoning,Zoning,,Department of City Planning,2024-04-24T19:02:17.000Z,,data.lacity.org,,https://data.lacity.org/d/rryw-49uv,2026-04-03T21:56:27.781285+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
6uce-zbmr,#ACoolDataset - Total Active Businesses in City of Los Angeles Council District 14,#ACoolDataset - Total Active Businesses in City of Los Angeles Council District 14,,Office of Finance,2026-03-15T15:38:51.000Z,,data.lacity.org,,https://data.lacity.org/d/6uce-zbmr,2026-04-03T21:56:28.639905+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
v38d-iucb,small lots,small lots,,LADBS,2025-01-14T20:18:42.000Z,,data.lacity.org,,https://data.lacity.org/d/v38d-iucb,2026-04-03T21:56:29.417543+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
ikdx-vgub,Zoning Reference Table,Zoning Reference Table,,City of Los Angeles Department of City Planning,2021-04-21T15:52:52.000Z,,data.lacity.org,,https://data.lacity.org/d/ikdx-vgub,2026-04-03T21:56:30.226887+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
yrwh-n3zy,Eastside Building Permits 2018,Eastside Building Permits 2018,,LADBS,2025-01-14T20:24:28.000Z,,data.lacity.org,,https://data.lacity.org/d/yrwh-n3zy,2026-04-03T21:56:31.260577+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
tks4-u9wn,General Plan Land Use,General Plan Land Use,,Department of City Planning,2024-04-24T19:00:38.000Z,,data.lacity.org,,https://data.lacity.org/d/tks4-u9wn,2026-04-03T21:56:32.114992+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
n3m5-kxzy,Apartment Building Permits over 100k,Apartment Building Permits over 100k,,LADBS,2025-01-29T02:55:07.000Z,,data.lacity.org,,https://data.lacity.org/d/n3m5-kxzy,2026-04-03T21:56:32.997022+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
rckt-8prm,Total and Affordable Housing Units,Total and Affordable Housing Units,,,2025-09-11T19:57:59.000Z,,data.lacity.org,,https://data.lacity.org/d/rckt-8prm,2026-04-03T21:56:33.964460+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
29cn-rph9,Housing & Community Investment Service Locations,Housing & Community Investment Service Locations,,LOS ANGELES HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,2025-09-11T19:56:04.000Z,,data.lacity.org,,https://data.lacity.org/d/29cn-rph9,2026-04-03T21:56:34.742176+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
3nrm-mq6k,Small Cell Locations,Small Cell Locations,,,2026-03-10T21:37:10.000Z,,data.lacity.org,,https://data.lacity.org/d/3nrm-mq6k,2026-04-03T21:56:35.469060+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
yaet-dzaw,COVID-19 Deaths in LA County by Month,COVID-19 Deaths in LA County by Month,,,2025-11-11T21:25:58.000Z,,data.lacity.org,,https://data.lacity.org/d/yaet-dzaw,2026-04-03T21:56:36.252669+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
paqi-j4yv,Area Planning Commission,Area Planning Commission,,Department of City PLanning,2024-04-24T19:00:45.000Z,,data.lacity.org,,https://data.lacity.org/d/paqi-j4yv,2026-04-03T21:56:37.096188+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
7ft5-hqb7,#ACoolDataset - Total Active Businesses in City of Los Angeles Council District 06,#ACoolDataset - Total Active Businesses in City of Los Angeles Council District 06,,Office of Finance,2026-03-15T15:38:51.000Z,,data.lacity.org,,https://data.lacity.org/d/7ft5-hqb7,2026-04-03T21:56:37.969143+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
u8xs-sfb6,Eastside Building Permits 2018,Eastside Building Permits 2018,,LADBS,2025-01-14T20:18:07.000Z,,data.lacity.org,,https://data.lacity.org/d/u8xs-sfb6,2026-04-03T21:56:39.655458+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
9pmm-facb,Descending Date,Descending Date,,LADBS,2025-01-29T02:46:42.000Z,,data.lacity.org,,https://data.lacity.org/d/9pmm-facb,2026-04-03T21:56:40.685854+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
9ei6-svt8,Streetlight locations,Streetlight locations,,Bureau of Street Lighting,2026-03-10T18:22:14.000Z,,data.lacity.org,,https://data.lacity.org/d/9ei6-svt8,2026-04-03T21:56:41.639862+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
pu8r-72kk,Community Plan Area,Community Plan Area,,Department of City Planning,2024-04-24T19:00:44.000Z,,data.lacity.org,,https://data.lacity.org/d/pu8r-72kk,2026-04-03T21:56:42.446897+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
e7h6-4a3e,LADOT Parking Meter Occupancy,LADOT Parking Meter Occupancy,,LADOT Parking Meters Division - LA ExpressPark,2026-04-03T21:54:30.000Z,,data.lacity.org,,https://data.lacity.org/d/e7h6-4a3e,2026-04-03T21:56:43.498475+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
